Country,State,City,Station_name,Timestamp(UTC),PM2.5,US_AQI,Main pollutant,r1,r2,r3,r4,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-01-27 00:00:00,29.04,86,PM2.5,32.08,16.92,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-01-30 00:00:00,22.32,72,PM2.5,17.0,9.0,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-02-21 00:00:00,36.96,105,PM2.5,42.04,58.51,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-02-23 00:00:00,6.58,27,PM2.5,11.83,2.73,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-03-20 00:00:00,3.96,16,PM2.5,1.12,0.0,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-03-28 00:00:00,4.04,17,PM2.5,6.0,0.0,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-04-22 00:00:00,15.04,57,PM2.5,20.2,4.93,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-04-26 00:00:00,7.85,32,PM2.5,9.08,0.52,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-06-16 00:00:00,28.72,86,PM2.5,59.48,14.58,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-07-14 00:00:00,8.4,35,PM2.5,8.4,0.55,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-07-16 00:00:00,23.0,74,PM2.5,29.38,5.24,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-08-03 00:00:00,17.37,62,PM2.5,26.04,8.41,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-08-29 00:00:00,9.0,37,PM2.5,15.0,2.62,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2022-02-02 00:00:00,18.5,64,PM2.5,17.3,6.07,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-12-11 00:00:00,10.46,43,PM2.5,14.32,6.0,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-03-04 00:00:00,5.79,24,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-03-19 00:00:00,9.42,39,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-05-14 00:00:00,16.54,60,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-05-15 00:00:00,9.96,41,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-06-13 00:00:00,8.75,36,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-06-14 00:00:00,8.89,37,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-07-10 00:00:00,18.46,64,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-07-26 00:00:00,17.17,62,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-07-29 00:00:00,12.13,51,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-07-30 00:00:00,11.83,49,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-09-03 00:00:00,16.42,60,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-10-10 00:00:00,3.92,16,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-11-24 00:00:00,7.96,33,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-12-04 00:00:00,3.05,13,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2019-01-08 00:00:00,7.08,29,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2019-02-03 00:00:00,23.24,74,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2019-04-06 00:00:00,9.76,40,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2019-04-18 00:00:00,12.3,51,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2019-05-22 00:00:00,7.73,32,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2019-05-27 00:00:00,6.58,27,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2019-06-30 00:00:00,10.09,42,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2018-03-26 00:00:00,5.67,23,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),2019-07-18 00:00:00,7.52,31,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-10-15 00:00:00,16.71,61,PM2.5,30.54,17.84,,,
